ts,id_cella,ship_t35,agv_t35,ship_t60-69,agv_t60-69,ship_t70-79,agv_t70-79,ship_to,agv_to
2015-03-08,C20,35,,60-69,,70-79,,others,0.43
2015-03-08,D20,35,,60-69,,70-79,,others,0.14
2015-03-08,D1,35,,60-69,,70-79,,others,0.14
2015-03-15,C1,35,,60-69,,70-79,,others,0.14
2015-03-15,D1,35,,60-69,,70-79,,others,0.86
2015-03-15,D20,35,,60-69,,70-79,,others,0.43
2015-03-15,G33,35,,60-69,,70-79,0.29,others,
2015-03-15,G34,35,,60-69,,70-79,0.14,others,
2015-03-15,B18,35,,60-69,,70-79,,others,0.14
2015-03-15,C19,35,,60-69,,70-79,,others,0.14
2015-03-15,C20,35,,60-69,,70-79,,others,0.86
2015-03-22,D1,35,,60-69,,70-79,,others,0.71
2015-03-22,G33,35,,60-69,,70-79,0.43,others,
2015-03-22,C19,35,,60-69,,70-79,,others,0.14
2015-03-22,D19,35,,60-69,,70-79,,others,0.14
2015-03-22,D20,35,,60-69,,70-79,,others,0.71
2015-03-22,B19,35,,60-69,,70-79,,others,0.14
2015-03-22,C20,35,,60-69,,70-79,,others,1.9
2015-03-29,D1,35,,60-69,,70-79,,others,2.0
2015-03-29,C20,35,,60-69,,70-79,,others,1.0
2015-03-29,E31,35,,60-69,,70-79,0.14,others,
2015-03-29,A28,35,,60-69,,70-79,0.14,others,
2015-03-29,D2,35,,60-69,,70-79,,others,0.29
2015-03-29,D20,35,,60-69,,70-79,,others,0.14
2015-03-29,A29,35,,60-69,,70-79,0.14,others,
2015-03-29,B30,35,,60-69,,70-79,0.14,others,
2015-03-29,C31,35,,60-69,,70-79,0.14,others,
2015-03-29,C30,35,,60-69,,70-79,0.14,others,
2015-03-29,D31,35,,60-69,,70-79,0.14,others,
2015-03-29,D30,35,,60-69,,70-79,0.14,others,
2015-03-29,E30,35,,60-69,,70-79,0.14,others,
2015-03-29,F31,35,,60-69,,70-79,0.14,others,
2015-04-05,D1,35,,60-69,,70-79,,others,3.1
2015-04-05,D2,35,,60-69,,70-79,,others,1.3
2015-04-05,D20,35,,60-69,,70-79,,others,1.4
2015-04-05,C19,35,,60-69,,70-79,,others,0.29
