ts,trip_1,rating_1,trip_2,rating_2,trip_3,rating_3,trip_4,rating_4,trip_5,rating_5
2015-03-10 12:00,0xc35c9_10-03-15 12:xx - 10-03-15 13:26,10.29,0xc35c9_10-03-15 13:xx - 12-03-15 7:38_parking,9.505e-05,,,,,,
2015-03-12 06:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,0.2719,0xc35c9_10-03-15 13:xx - 12-03-15 7:38_parking,0.006740,,,,,,
2015-03-12 08:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,0.05170,,,,,,,,
2015-03-14 12:00,0x6cafd_14-03-15 13:xx - 18-04-15 16:29,1.630,,,,,,,,
2015-03-14 14:00,0x6cafd_14-03-15 13:xx - 18-04-15 16:29,23.65,,,,,,,,
2015-03-14 16:00,0x6cafd_14-03-15 13:xx - 18-04-15 16:29,26.43,,,,,,,,
2015-03-15 20:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.799,,,,,,,,
2015-03-15 22:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.808,,,,,,,,
2015-03-16 00:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.864,,,,,,,,
2015-03-16 02:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.813,,,,,,,,
2015-03-16 04:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.802,,,,,,,,
2015-03-16 06:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.846,,,,,,,,
2015-03-16 08:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.787,,,,,,,,
2015-03-16 10:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.788,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.02128,,,,,,
2015-03-16 12:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.789,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.03251,,,,,,
2015-03-16 14:00,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.06811,,,,,,,,
2015-03-16 16:00,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.3389,,,,,,,,
2015-03-16 18:00,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.1174,0x6d679_16-03-15 18:xx - 17-03-15 5:51_parking,0.09194,,,,,,
2015-03-16 20:00,0x6d679_16-03-15 18:xx - 17-03-15 5:51_parking,0.1183,,,,,,,,
2015-03-16 22:00,0x6d679_16-03-15 18:xx - 17-03-15 5:51_parking,0.07357,,,,,,,,
2015-03-17 00:00,0x6d679_16-03-15 18:xx - 17-03-15 5:51_parking,0.1191,,,,,,,,
2015-03-17 02:00,0x6d679_16-03-15 18:xx - 17-03-15 5:51_parking,0.1973,,,,,,,,
2015-03-17 04:00,0x6d679_16-03-15 18:xx - 17-03-15 5:51_parking,0.2798,,,,,,,,
2015-03-17 06:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.000,,,,,,,,
2015-03-17 08:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.03049,,,,,,,,
2015-03-17 10:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.1795,,,,,,,,
2015-03-17 12:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.3443,,,,,,,,
2015-03-17 14:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4276,,,,,,,,
2015-03-17 16:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.3255,,,,,,,,
2015-03-17 18:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.3641,,,,,,,,
2015-03-17 20:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.2186,,,,,,,,
2015-03-17 22:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4315,,,,,,,,
2015-03-18 00:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4437,,,,,,,,
2015-03-18 02:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4127,,,,,,,,
2015-03-18 04:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.1520,,,,,,,,
2015-03-18 06:00,0xb633e_18-03-15 6:xx - 18-03-15 8:24,9.952,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4203,,,,,,
2015-03-18 08:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,16.91,0xb633e_18-03-15 6:xx - 18-03-15 8:24,8.724,0x7086e_18-03-15 9:xx - 18-03-15 10:41,5.620,0xb633e_18-03-15 8:xx - 03-04-15 9:24,0.7834,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4044
2015-03-18 10:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,41.91,0x7086e_18-03-15 9:xx - 18-03-15 10:41,9.788,0x7086e_18-03-15 10:xx - 18-03-15 10:53,2.271,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4123,0x7086e_18-03-15 10:xx - 22-03-15 6:31_parking,0.008951
2015-03-18 12:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4418,,,,,,,,
2015-03-18 14:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.3869,,,,,,,,
2015-03-18 16:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.07618,,,,,,,,
2015-03-18 18:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.07355,,,,,,,,
2015-03-18 20:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.05857,,,,,,,,
2015-03-18 22:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.03236,,,,,,,,
2015-03-19 00:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.3870,,,,,,,,
2015-03-19 02:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.3950,,,,,,,,
2015-03-19 04:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.09367,,,,,,,,
2015-03-19 06:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.06655,,,,,,,,
2015-03-19 08:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.1511,,,,,,,,
2015-03-19 10:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.1174,0x7086e_18-03-15 10:xx - 22-03-15 6:31_parking,0.01139,,,,,,
2015-03-19 12:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4087,,,,,,,,
2015-03-19 14:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4765,,,,,,,,
2015-03-19 16:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.2116,,,,,,,,
2015-03-19 18:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.1732,,,,,,,,
2015-03-19 20:00,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.3296,,,,,,,,
2015-03-19 22:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,201.2,0x6d679_17-03-15 7:xx - 20-03-15 18:18,0.4083,,,,,,
