ts,trip_1,rating_1,trip_2,rating_2,trip_3,rating_3,trip_4,rating_4,trip_5,rating_5
2015-03-10 12:00,0xc35c9_10-03-15 12:xx - 10-03-15 13:26,7.606,,,,,,,,
2015-03-10 13:00,0xc35c9_10-03-15 12:xx - 10-03-15 13:26,10.29,0xc35c9_10-03-15 13:xx - 12-03-15 7:38_parking,9.505e-05,,,,,,
2015-03-12 07:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,0.2719,0xc35c9_10-03-15 13:xx - 12-03-15 7:38_parking,0.006740,,,,,,
2015-03-12 08:00,0xc35c9_12-03-15 7:xx - 23-03-15 0:42,0.05170,,,,,,,,
2015-03-14 13:00,0x6cafd_14-03-15 13:xx - 18-04-15 16:29,1.630,,,,,,,,
2015-03-14 14:00,0x6cafd_14-03-15 13:xx - 18-04-15 16:29,5.316,,,,,,,,
2015-03-14 15:00,0x6cafd_14-03-15 13:xx - 18-04-15 16:29,23.65,,,,,,,,
2015-03-14 16:00,0x6cafd_14-03-15 13:xx - 18-04-15 16:29,26.43,,,,,,,,
2015-03-15 20:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,2.432,,,,,,,,
2015-03-15 21:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.799,,,,,,,,
2015-03-15 22:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.814,,,,,,,,
2015-03-15 23:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.808,,,,,,,,
2015-03-16 00:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.835,,,,,,,,
2015-03-16 01:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.864,,,,,,,,
2015-03-16 02:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.888,,,,,,,,
2015-03-16 03:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.813,,,,,,,,
2015-03-16 04:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.785,,,,,,,,
2015-03-16 05:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.802,,,,,,,,
2015-03-16 06:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.814,,,,,,,,
2015-03-16 07:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.846,,,,,,,,
2015-03-16 08:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.828,,,,,,,,
2015-03-16 09:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.787,,,,,,,,
2015-03-16 10:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.785,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.01893,,,,,,
2015-03-16 11:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.788,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.02128,,,,,,
2015-03-16 12:00,0x6d679_15-03-15 20:xx - 16-03-15 12:24,4.789,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.01139,,,,,,
2015-03-16 13:00,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.03251,,,,,,,,
2015-03-16 14:00,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.02129,,,,,,,,
2015-03-16 15:00,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.06811,,,,,,,,
2015-03-16 16:00,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.3169,,,,,,,,
2015-03-16 17:00,0x6d679_16-03-15 10:xx - 16-03-15 18:51_parking,0.3389,,,,,,,,
